title,year,duration,genres,rating,votes,director,stars
The Shawshank Redemption,1995-02-24,PT2H22M,Drama,9.3,3176315,Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton"
The Godfather,1972-10-20,PT2H55M,"Crimen, Drama",9.2,2218760,Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan"
The Dark Knight,2008-08-13,PT2H32M,"Acción, Crimen, Drama",9.1,3155756,Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart"
The Godfather Part II,1975-10-13,PT3H22M,"Crimen, Drama",9,1490815,Francis Ford Coppola,"Al Pacino, Robert De Niro, Robert Duvall"
12 Angry Men,1957-04-10,PT1H36M,"Crimen, Drama",9,980299,Sidney Lumet,"Henry Fonda, Lee J. Cobb, Martin Balsam"
The Lord of the Rings: The Return of the King,2003-12-17,PT3H21M,"Aventura, Drama, Fantasía",9,2157615,Peter Jackson,"Elijah Wood, Viggo Mortensen, Ian McKellen"
Schindler&apos;s List,1994-03-04,PT3H15M,"Biografía, Drama, Historia",9,1581103,Steven Spielberg,"Liam Neeson, Ralph Fiennes, Ben Kingsley"
The Lord of the Rings: The Fellowship of the Ring,2001-12-19,PT2H58M,"Aventura, Drama, Fantasía",8.9,2199303,Peter Jackson,"Elijah Wood, Ian McKellen, Orlando Bloom"
Pulp Fiction,1995-01-13,PT2H34M,"Crimen, Drama",8.8,2427008,Quentin Tarantino,"John Travolta, Uma Thurman, Samuel L. Jackson"
"Il buono, il brutto, il cattivo",1968-08-07,PT3H2M,"Aventura, Drama, Del oeste",8.8,888965,Sergio Leone,"Clint Eastwood, Eli Wallach, Lee Van Cleef"
The Lord of the Rings: The Two Towers,2002-12-18,PT2H59M,"Aventura, Drama, Fantasía",8.8,1950282,Peter Jackson,"Elijah Wood, Ian McKellen, Viggo Mortensen"
Forrest Gump,1994-09-23,PT2H22M,"Drama, Romance",8.8,2487038,Robert Zemeckis,"Tom Hanks, Robin Wright, Gary Sinise"
Fight Club,1999-11-05,PT2H19M,"Crimen, Drama, Suspense",8.8,2594348,David Fincher,"Brad Pitt, Edward Norton, Meat Loaf"
Inception,2010-08-06,PT2H28M,"Acción, Aventura, Ciencia ficción",8.8,2805309,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page"
Star Wars: Episode V - The Empire Strikes Back,1980-10-03,PT2H4M,"Acción, Aventura, Fantasía",8.7,1499953,Irvin Kershner,"Mark Hamill, Harrison Ford, Carrie Fisher"
The Matrix,1999-06-23,PT2H16M,"Acción, Ciencia ficción",8.7,2239299,"Lana Wachowski, Lilly Wachowski","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss"
GoodFellas,1990-10-19,PT2H25M,"Biografía, Crimen, Drama",8.7,1386266,Martin Scorsese,"Robert De Niro, Ray Liotta, Joe Pesci"
Interstellar,2014-11-07,PT2H49M,"Aventura, Drama, Ciencia ficción",8.7,2510182,Christopher Nolan,"Matthew McConaughey, Anne Hathaway, Jessica Chastain"
One Flew Over the Cuckoo&apos;s Nest,1976-10-07,PT2H13M,Drama,8.6,1154428,Miloš Forman,"Jack Nicholson, Louise Fletcher, Michael Berryman"
Se7en,1996-01-10,PT2H7M,"Crimen, Drama, Misterio",8.6,2012603,David Fincher,"Morgan Freeman, Brad Pitt, Kevin Spacey"
It&apos;s a Wonderful Life,1947-01-07,PT2H10M,"Drama, Familiar, Fantasía",8.6,553557,Frank Capra,"James Stewart, Donna Reed, Lionel Barrymore"
The Silence of the Lambs,1991-09-06,PT1H58M,"Crimen, Drama, Terror",8.6,1716473,Jonathan Demme,"Jodie Foster, Anthony Hopkins, Scott Glenn"
Shichinin no samurai,1954-04-26,PT3H27M,"Acción, Drama",8.6,400811,Akira Kurosawa,"Toshirô Mifune, Takashi Shimura, Keiko Tsushima"
Saving Private Ryan,1998-09-18,PT2H49M,"Drama, Bélico",8.6,1632867,Steven Spielberg,"Tom Hanks, Matt Damon, Tom Sizemore"
The Green Mile,2000-02-18,PT3H9M,"Crimen, Drama, Fantasía",8.6,1555845,Frank Darabont,"Tom Hanks, Michael Clarke Duncan, David Morse"
